Energy,run,Resistance,collimatore131x,collimatore131y,collimatore386x,collimatore386y
20,20753,400,-5,5,-5,5
40,20841,400,-8,8,-8,8
40,20842,400,-8,8,-8,8
40,20843,400,-8,8,-8,8
60,20847,400,-10,10,-8,8
60,20848,400,-10,10,-8,8
60,20849,400,-10,10,-8,8
80,20909,400,-10,10,-8,8
80,20911,400,-10,10,-8,8
80,20912,400,-10,10,-8,8
80,20913,400,-10,10,-8,8
80,20914,400,-10,10,-8,8
80,20915,400,-10,10,-8,8
80,20917,400,-10,10,-8,8
80,20918,400,-10,10,-8,8
80,20919,400,-10,10,-8,8
80,20920,400,-10,10,-8,8
100,20769,400,-15,15,-8,8
100,20770,400,-15,15,-8,8
100,20771,400,-15,15,-8,8
100,20772,400,-15,15,-8,8
150,20780,400,-8,8,-8,8
150,20781,400,-8,8,-8,8
150,20782,400,-8,8,-8,8
150,20783,400,-8,8,-8,8
150,20786,400,-8,8,-8,8
150,20787,400,-8,8,-8,8
150,20788,400,-8,8,-8,8
150,20789,400,-8,8,-8,8
150,20799,400,-8,8,-8,8
150,20800,400,-8,8,-8,8
150,20801,400,-8,8,-8,8
200,20700,400,-3,3,-2,2
200,20701,400,-3,3,-2,2
200,20702,400,-3,3,-2,2
225,20676,400,-3,3,-2,2
225,20677,400,-3,3,-2,2
225,20678,400,-3,3,-2,2
225,20679,400,-3,3,-2,2
225,20680,400,-3,3,-2,2
225,20681,400,-3,3,-2,2
250,20683,400,-3,3,-2,2
250,20684,400,-3,3,-2,2
250,20686,400,-3,3,-2,2
250,20687,400,-3,3,-2,2
250,20688,400,-3,3,-2,2
250,20689,400,-3,3,-2,2
250,20690,400,-3,3,-2,2
250,20691,400,-3,3,-2,2
250,20692,400,-3,3,-2,2
250,20693,400,-3,3,-2,2
250,20694,400,-3,3,-2,2
250,20695,400,-3,3,-2,2
250,20696,400,-3,3,-2,2
250,20699,400,-3,3,-2,2
